configuration,similarity_bin,pairs,survived,survival_rate
32x4,"(-0.001, 0.1]",160,0,0.0
32x4,"(0.1, 0.2]",280,2,0.71
32x4,"(0.2, 0.3]",124,15,12.1
32x4,"(0.3, 0.4]",120,33,27.5
32x4,"(0.4, 0.5]",26,17,65.38
32x4,"(0.5, 0.6]",45,42,93.33
32x4,"(0.6, 0.7]",42,41,97.62
32x4,"(0.7, 0.8]",6,6,100.0
32x4,"(0.8, 0.9]",42,42,100.0
32x4,"(0.9, 1.0]",55,55,100.0
