configuration,similarity_bin,pairs,survived,survival_rate
16x8,"(-0.001, 0.1]",160,0,0.0
16x8,"(0.1, 0.2]",280,0,0.0
16x8,"(0.2, 0.3]",124,0,0.0
16x8,"(0.3, 0.4]",120,0,0.0
16x8,"(0.4, 0.5]",26,0,0.0
16x8,"(0.5, 0.6]",45,6,13.33
16x8,"(0.6, 0.7]",42,12,28.57
16x8,"(0.7, 0.8]",6,6,100.0
16x8,"(0.8, 0.9]",42,42,100.0
16x8,"(0.9, 1.0]",55,55,100.0
