notice_id,portal_id,configuration,candidate_count
N001624,P244,32x4,1
N001629,P210,32x4,0
N001633,P221,32x4,8
N001634,P094,32x4,2
N001653,P006,32x4,110
N001654,P096,32x4,1
N001666,P003,32x4,6
N001669,P097,32x4,0
N001677,P003,32x4,55
N001678,P003,32x4,91
N001685,P002,32x4,171
N001686,P094,32x4,1
N001699,P003,32x4,132
N001702,P006,32x4,101
N001720,P003,32x4,66
N001733,P248,32x4,2
N001734,P147,32x4,2
N001735,P006,32x4,40
N001746,P003,32x4,207
N001758,P053,32x4,0
N001760,P094,32x4,1
N001761,P168,32x4,1
N001764,P181,32x4,7
N001765,P006,32x4,29
N001784,P004,32x4,39
N001785,P003,32x4,51
N001791,P006,32x4,77
N001804,P002,32x4,154
N001817,P001,32x4,1
N001833,P003,32x4,93
N001863,P005,32x4,255
N001865,P214,32x4,1
N001873,P094,32x4,4
N001874,P251,32x4,4
N001879,P001,32x4,97
N001880,P005,32x4,128
N001889,P001,32x4,247
N001902,P004,32x4,94
N001905,P001,32x4,221
N001915,P232,32x4,1
N001918,P002,32x4,129
N001934,P006,32x4,39
N001937,P002,32x4,279
N001940,P004,32x4,41
N001948,P233,32x4,0
N001957,P078,32x4,2
N001958,P246,32x4,2
N001977,P002,32x4,260
N001983,P131,32x4,1
N001984,P003,32x4,134
N001988,P041,32x4,0
N002008,P026,32x4,0
N002017,P004,32x4,28
N002019,P006,32x4,42
N002021,P002,32x4,217
N002036,P001,32x4,129
N002040,P189,32x4,2
N002043,P054,32x4,7
N002056,P004,32x4,103
N002058,P005,32x4,217
N002059,P001,32x4,228
N002071,P002,32x4,147
N002084,P127,32x4,0
N002085,P088,32x4,0
N002086,P004,32x4,2
N002088,P006,32x4,92
N002106,P086,32x4,1
N002132,P003,32x4,79
N002149,P244,32x4,9
N002155,P002,32x4,180
N002156,P004,32x4,12
N002163,P004,32x4,82
N002169,P159,32x4,4
N002171,P117,32x4,2
N002173,P071,32x4,4
N002186,P094,32x4,0
N002197,P240,32x4,1
N002198,P001,32x4,141
N002200,P004,32x4,69
N002201,P061,32x4,2
N002204,P072,32x4,2
N002216,P094,32x4,1
N002218,P240,32x4,1
N002225,P136,32x4,0
N002229,P004,32x4,105
N002230,P021,32x4,0
N002242,P234,32x4,0
N002248,P092,32x4,2
N002267,P176,32x4,0
N002287,P096,32x4,0
N002290,P005,32x4,132
N002299,P001,32x4,269
N002300,P002,32x4,261
N002304,P006,32x4,101
N002307,P006,32x4,47
N002316,P002,32x4,191
N002317,P096,32x4,0
N002331,P002,32x4,142
N002342,P158,32x4,4
N002351,P006,32x4,43
N002358,P158,32x4,0
N002389,P208,32x4,1
N002391,P005,32x4,29
N002401,P089,32x4,4
N002426,P005,32x4,201
N002439,P004,32x4,79
N002440,P165,32x4,0
N002443,P117,32x4,1
N002446,P006,32x4,57
N002447,P205,32x4,1
N002468,P094,32x4,4
N002469,P028,32x4,4
N002476,P006,32x4,0
N002502,P020,32x4,1
N002505,P032,32x4,1
N002506,P088,32x4,0
N002507,P094,32x4,7
N002508,P183,32x4,8
N002513,P005,32x4,128
N002516,P214,32x4,1
N002540,P006,32x4,5
N002544,P001,32x4,292
N002548,P006,32x4,27
N002561,P002,32x4,123
N002570,P006,32x4,34
N002578,P005,32x4,284
N002582,P006,32x4,80
N002586,P141,32x4,0
N002589,P003,32x4,102
N002590,P215,32x4,4
N002591,P094,32x4,4
N002595,P184,32x4,4
N002597,P001,32x4,161
N002598,P095,32x4,3
N002605,P006,32x4,134
N002612,P006,32x4,8
N002621,P001,32x4,12
N002626,P005,32x4,133
N002629,P020,32x4,1
N002631,P094,32x4,1
N002639,P069,32x4,1
N002640,P094,32x4,1
N002648,P061,32x4,1
N002652,P006,32x4,19
N002665,P001,32x4,218
N002670,P006,32x4,25
N002673,P003,32x4,21
N002683,P002,32x4,155
N002684,P001,32x4,8
